,nodeID,tau_heu,tau_bench,effective_tau,nu_heu,nu_benchmark,effective_nu,seed_node
0,3,0.11265635753135747,0.015,7.510423835423832,1.0,0.02,50.0,0
1,4,0.1390341047841047,0.0525,2.648268662554375,1.0,0.06,16.666666666666668,0
2,5,0.12969319569319565,0.02,6.484659784659782,0.99,0.02,49.5,0
3,6,1.0,0.01,100.0,1.0,0.01,100.0,1
4,7,0.14036241536241534,0.005,28.072483072483067,0.99,0.01,99.0,0
5,8,1.0,0.01,100.0,1.0,0.02,50.0,1
6,9,0.1256091408591408,0.005,25.12182817182816,0.99,0.01,99.0,0
7,10,0.13862977300477294,0.01,13.862977300477294,0.97,0.01,97.0,0
8,11,1.0,0.02333333333333333,42.85714285714286,1.0,0.03,33.333333333333336,1
9,12,0.14684532134532124,0.02,7.3422660672660625,0.99,0.02,49.5,0
10,13,0.11870582195582187,0.02333333333333333,5.087392369535223,1.0,0.03,33.333333333333336,0
11,14,0.14504806304806292,0.035,4.144230372801798,1.0,0.04,25.0,0
12,15,1.0,0.015,66.66666666666667,1.0,0.02,50.0,1
13,16,0.23768373293373282,0.02,11.884186646686642,1.0,0.02,50.0,0
14,17,0.1149987512487512,0.003333333333333333,34.49962537462536,0.99,0.01,99.0,0
15,18,0.14097305472305466,0.02333333333333333,6.041702345273771,0.99,0.03,33.0,0
16,19,0.13804589854589847,0.025,5.521835941835938,0.99,0.03,33.0,0
17,20,0.14991497391497383,0.045,3.3314438647771962,1.0,0.05,20.0,0
18,21,0.13294272394272388,0.029166666666666664,4.558036249464819,0.99,0.05,19.799999999999997,0
19,22,0.14078908591408593,0.04333333333333334,3.2489789057096745,0.97,0.07,13.857142857142856,0
20,23,0.12783474858474853,0.03,4.261158286158285,1.0,0.03,33.333333333333336,0
21,24,1.0,0.01,100.0,1.0,0.01,100.0,1
22,25,0.14676404151404143,0.03,4.892134717134715,1.0,0.04,25.0,0
23,26,0.1338290875790875,0.01,13.382908757908751,1.0,0.01,100.0,0
24,27,0.1690084498834499,0.05,3.380168997668998,0.99,0.05,19.799999999999997,0
25,28,1.0,0.05,20.0,1.0,0.05,20.0,1
26,29,0.15607864357864354,0.01,15.607864357864354,1.0,0.01,100.0,0
27,30,0.19006313131313127,0.045,4.223625140291806,0.99,0.05,19.799999999999997,0
28,31,0.13135805860805855,0.01,13.135805860805855,0.93,0.01,93.0,0
29,32,0.15701430513930517,0.005,31.402861027861032,0.98,0.01,98.0,0
30,33,0.1415171078921078,0.015,9.434473859473854,1.0,0.02,50.0,0
31,34,0.14949708624708627,0.015,9.966472416472419,0.95,0.02,47.5,0
32,35,0.14766894216894208,0.04333333333333333,3.407744819283279,0.99,0.06,16.5,0
33,36,1.0,0.015,66.66666666666667,1.0,0.02,50.0,1
34,37,0.20887240537240534,0.027000000000000003,7.736015013792789,0.99,0.04,24.75,0
35,38,0.15640437340437333,0.02,7.820218670218666,0.99,0.02,49.5,0
36,39,0.13769665057165054,0.01,13.769665057165053,0.95,0.01,95.0,0
37,40,0.10628579753579746,0.02,5.314289876789873,0.99,0.02,49.5,0
38,41,0.12510323010323002,0.03,4.170107670107668,1.0,0.03,33.333333333333336,0
39,42,0.14645429570429558,0.01,14.645429570429558,1.0,0.01,100.0,0
40,43,0.13588752913752908,0.015,9.059168609168605,0.99,0.02,49.5,0
41,44,0.20961291486291472,0.03,6.987097162097157,1.0,0.03,33.333333333333336,0
42,45,0.1483379953379953,0.02333333333333333,6.357342657342656,0.99,0.03,33.0,0
43,46,0.1314413919413919,0.02,6.572069597069595,0.99,0.02,49.5,0
44,47,0.16382947607947593,0.03,5.460982535982531,0.99,0.03,33.0,0
45,48,0.170678182928183,0.0225,7.585697019030356,1.0,0.03,33.333333333333336,0
46,49,0.18876039238539227,0.06,3.146006539756538,0.99,0.07,14.14285714285714,0
47,50,0.13817198079698076,0.0475,2.9088838062522266,1.0,0.06,16.666666666666668,0
48,51,0.12329267954267947,0.008333333333333333,14.795121545121537,0.99,0.02,49.5,0
49,52,0.13267508880008874,0.035,3.790716822859678,0.99,0.05,19.799999999999997,0
50,53,0.22679809079809077,0.01,22.679809079809075,1.0,0.01,100.0,0
51,54,0.16435227680815914,0.03,5.478409226938639,0.99,0.03,33.0,0
52,55,0.11461086136086127,0.01,11.461086136086127,0.96,0.01,96.0,0
53,56,0.19041785991785978,0.018333333333333333,10.386428722792353,0.98,0.03,32.666666666666664,0
54,57,0.12971542346542345,0.03333333333333333,3.8914627039627034,0.99,0.05,19.799999999999997,0
55,58,0.15631948606948598,0.013333333333333332,11.72396145521145,1.0,0.02,50.0,0
56,59,0.16899181374181363,0.04,4.224795343545341,0.98,0.04,24.5,0
57,60,0.21943290043290034,0.03333333333333333,6.582987012987011,1.0,0.04,25.0,0
58,61,0.17551126651126647,0.04,4.387781662781662,1.0,0.04,25.0,0
59,62,0.12994369519369514,0.028333333333333335,4.586248065659828,0.98,0.04,24.5,0
60,63,0.5,0.005,100.0,1.0,0.01,100.0,0
61,64,0.2946987734487733,0.0,,0.99,0.0,,0
62,65,0.2859498279498278,0.025,11.437993117993113,1.0,0.04,25.0,0
63,66,0.21657201132201123,0.03,7.2190670440670415,1.0,0.03,33.333333333333336,0
64,67,0.11877688977688973,0.02333333333333333,5.090438133295275,0.98,0.03,32.666666666666664,0
65,68,1.0,0.02,50.0,1.0,0.02,50.0,1
66,71,0.18951659451659442,0.018333333333333333,10.33726879181424,1.0,0.03,33.333333333333336,0
67,72,1.0,0.0,,1.0,0.0,,1
68,73,0.11822509435009432,0.03,3.9408364783364775,0.96,0.04,24.0,0
69,74,0.17798554223554217,0.03,5.932851407851405,1.0,0.03,33.333333333333336,0
70,75,0.12549084249084239,0.01,12.549084249084238,0.95,0.01,95.0,0
71,76,0.3283697413697415,0.03,10.945658045658051,0.98,0.03,32.666666666666664,0
72,77,0.13797988122988117,0.01,13.797988122988116,0.97,0.01,97.0,0
73,78,0.1426612276612276,0.02,7.13306138306138,1.0,0.02,50.0,0
74,79,0.14104784104784104,0.03,4.7015947015947015,0.99,0.04,24.75,0
75,80,0.13133035020535014,0.035,3.7522957201528606,0.99,0.04,24.75,0
