dataset,heuristic,cascade_model,n_iters,fIA,n_seeds,mean,std,run_id,results_path
fb,HD,threshold_norm,1000,0.01,40,0.5,0.0,000001,results\runs\000001\results.pkl.gz
fb,HD,threshold_norm,1000,0.01,40,0.5,0.05,000002,results\runs\000002\results.pkl.gz
fb,HD,threshold_norm,1000,0.01,40,0.5,0.1,000003,results\runs\000003\results.pkl.gz
fb,HD,threshold_norm,1000,0.01,40,0.5,0.15,000004,results\runs\000004\results.pkl.gz
fb,HD,threshold_norm,1000,0.01,40,0.5,0.2,000005,results\runs\000005\results.pkl.gz
fb,HD,threshold_norm,1000,0.01,40,0.5,0.25,000006,results\runs\000006\results.pkl.gz
fb,CHD,threshold_norm,1000,0.01,40,0.5,0.0,000007,results\runs\000007\results.pkl.gz
fb,CHD,threshold_norm,1000,0.01,40,0.5,0.05,000008,results\runs\000008\results.pkl.gz
fb,CHD,threshold_norm,1000,0.01,40,0.5,0.1,000009,results\runs\000009\results.pkl.gz
fb,CHD,threshold_norm,1000,0.01,40,0.5,0.15,000010,results\runs\000010\results.pkl.gz
fb,CHD,threshold_norm,1000,0.01,40,0.5,0.2,000011,results\runs\000011\results.pkl.gz
fb,CHD,threshold_norm,1000,0.01,40,0.5,0.25,000012,results\runs\000012\results.pkl.gz
fb,RND,threshold_norm,1000,0.01,40,0.5,0.0,000013,results\runs\000013\results.pkl.gz
fb,RND,threshold_norm,1000,0.01,40,0.5,0.05,000014,results\runs\000014\results.pkl.gz
fb,RND,threshold_norm,1000,0.01,40,0.5,0.1,000015,results\runs\000015\results.pkl.gz
fb,RND,threshold_norm,1000,0.01,40,0.5,0.15,000016,results\runs\000016\results.pkl.gz
fb,RND,threshold_norm,1000,0.01,40,0.5,0.2,000017,results\runs\000017\results.pkl.gz
fb,RND,threshold_norm,1000,0.01,40,0.5,0.25,000018,results\runs\000018\results.pkl.gz
wiki,HD,threshold_norm,1000,0.01,71,0.5,0.0,000019,results\runs\000019\results.pkl.gz
wiki,HD,threshold_norm,1000,0.01,71,0.5,0.05,000020,results\runs\000020\results.pkl.gz
wiki,HD,threshold_norm,1000,0.01,71,0.5,0.1,000021,results\runs\000021\results.pkl.gz
wiki,HD,threshold_norm,1000,0.01,71,0.5,0.15,000022,results\runs\000022\results.pkl.gz
wiki,HD,threshold_norm,1000,0.01,71,0.5,0.2,000023,results\runs\000023\results.pkl.gz
