nodeID,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16,iter_17,iter_18,iter_19,iter_20,iter_21,iter_22,iter_23,iter_24,iter_25,iter_26,iter_27,iter_28,iter_29,iter_30,iter_31,iter_32,iter_33,iter_34,iter_35,iter_36,iter_37,iter_38,iter_39,iter_40,iter_41,iter_42,iter_43,iter_44,iter_45,iter_46,iter_47,iter_48,iter_49,iter_50,iter_51,iter_52,iter_53,iter_54,iter_55,iter_56,iter_57,iter_58,iter_59,iter_60,iter_61,iter_62,iter_63,iter_64,iter_65,iter_66,iter_67,iter_68,iter_69,iter_70,iter_71,iter_72,iter_73,iter_74,iter_75,iter_76,iter_77,iter_78,iter_79,iter_80,iter_81,iter_82,iter_83,iter_84,iter_85,iter_86,iter_87,iter_88,iter_89,iter_90,iter_91,iter_92,iter_93,iter_94,iter_95,iter_96,iter_97,iter_98,iter_99,iter_100
0,N,N,11,0,3,7,N,4,N,N,N,N,9,0,8,9,5,12,1,7,N,8,8,5,N,7,0,N,N,N,9,2,N,3,7,14,11,1,N,3,N,N,6,9,6,4,9,N,8,2,0,6,10,8,N,N,8,N,6,1,7,N,N,N,6,7,N,9,12,17,N,N,6,6,N,10,N,N,6,12,N,0,N,N,N,6,14,9,8,4,6,N,7,0,7,N,N,5,N,5
1,N,N,5,4,4,8,N,2,N,N,N,N,3,7,8,7,3,6,0,8,N,6,7,7,N,4,N,N,N,N,8,6,N,7,8,12,8,2,N,8,0,N,7,6,5,11,0,N,10,6,7,5,11,8,N,N,8,N,5,7,9,2,N,N,7,7,N,8,6,17,N,N,7,4,N,12,N,N,1,9,N,N,N,N,N,6,12,11,6,0,7,N,7,9,0,N,N,4,N,6
2,N,N,6,3,5,7,N,0,1,N,N,N,1,5,9,7,1,7,1,7,N,7,6,8,N,5,N,N,N,N,9,5,0,6,8,13,8,7,N,7,1,N,4,12,4,1,11,N,11,3,1,5,12,9,N,N,8,N,6,5,6,1,N,N,8,8,0,9,12,17,N,N,7,5,N,12,N,N,7,10,N,N,N,N,N,6,13,12,9,3,8,N,7,8,1,1,N,1,N,7
3,N,N,9,3,2,6,N,1,N,N,N,N,0,2,8,8,2,8,2,7,N,8,5,7,N,6,N,N,N,N,9,4,N,6,7,13,10,0,N,6,N,N,7,11,4,12,11,N,10,2,0,6,11,9,N,N,9,N,7,6,6,0,N,N,8,8,N,10,12,16,N,N,5,5,N,11,N,N,7,10,N,N,N,N,N,6,13,12,6,2,7,N,6,7,7,0,N,5,N,6
4,0,N,10,1,4,8,N,0,N,N,N,N,9,1,7,8,6,9,2,0,N,7,6,6,N,7,N,N,N,N,9,5,N,5,7,14,9,3,N,7,N,1,0,11,5,12,10,N,11,0,2,6,10,7,7,N,9,N,6,6,5,N,N,N,8,0,N,9,11,17,N,N,5,5,N,11,N,N,6,11,N,3,N,N,N,5,14,10,7,5,5,N,8,8,7,N,N,5,N,1
5,N,N,8,5,3,7,N,1,N,N,N,N,4,3,9,9,4,9,3,6,N,7,6,8,N,1,N,N,N,N,9,6,N,4,6,13,11,1,1,7,N,N,6,12,5,11,11,N,11,6,3,5,12,9,N,N,10,N,7,5,7,N,N,0,8,8,N,9,8,17,N,N,6,5,N,12,N,1,7,10,N,N,N,N,N,5,0,12,7,3,8,N,10,10,2,N,N,5,1,7
6,N,N,12,4,11,6,N,10,N,0,N,N,11,10,10,1,9,12,7,6,N,1,9,8,0,7,N,N,N,N,6,6,N,5,10,15,14,7,N,8,0,N,6,14,5,11,12,N,0,6,12,6,14,12,N,N,10,N,1,8,8,N,N,N,8,12,N,11,11,14,N,N,8,4,N,0,N,N,4,14,N,N,N,N,N,1,15,16,10,10,10,N,11,11,6,N,N,9,N,10
7,N,N,11,5,8,7,N,10,N,N,N,N,7,8,10,9,5,11,7,6,N,6,8,6,N,6,N,N,N,N,7,6,N,3,0,13,14,7,N,7,N,N,1,13,4,10,12,N,11,1,11,4,12,11,N,N,0,1,6,3,4,N,N,N,8,8,N,3,12,16,N,N,7,6,N,11,N,N,8,10,N,N,N,N,N,5,13,15,9,8,11,0,10,10,4,N,N,6,1,9
8,N,N,7,4,7,7,N,9,0,N,N,N,8,4,8,9,0,10,5,6,N,6,7,7,N,0,N,N,N,N,9,6,N,3,5,12,9,6,0,8,N,N,3,12,4,10,10,N,12,5,2,5,10,8,N,N,9,0,6,4,0,N,N,N,7,9,N,8,12,17,N,N,6,6,N,12,N,0,6,12,N,N,N,N,N,5,1,13,8,4,9,N,9,10,6,N,N,0,N,9
9,N,N,0,5,8,6,N,9,N,N,N,N,9,6,9,8,7,11,5,5,N,5,7,7,N,6,N,N,N,N,5,6,N,4,10,12,15,6,N,8,N,N,0,13,4,10,12,N,13,6,10,4,11,11,N,N,9,N,6,2,8,N,N,N,6,10,N,7,12,14,N,N,7,0,0,0,N,N,7,12,N,N,N,N,N,4,14,15,0,7,10,N,9,11,3,N,N,6,0,8
