nodeID,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16,iter_17,iter_18,iter_19,iter_20,iter_21,iter_22,iter_23,iter_24,iter_25,iter_26,iter_27,iter_28,iter_29,iter_30,iter_31,iter_32,iter_33,iter_34,iter_35,iter_36,iter_37,iter_38,iter_39,iter_40,iter_41,iter_42,iter_43,iter_44,iter_45,iter_46,iter_47,iter_48,iter_49,iter_50,iter_51,iter_52,iter_53,iter_54,iter_55,iter_56,iter_57,iter_58,iter_59,iter_60,iter_61,iter_62,iter_63,iter_64,iter_65,iter_66,iter_67,iter_68,iter_69,iter_70,iter_71,iter_72,iter_73,iter_74,iter_75,iter_76,iter_77,iter_78,iter_79,iter_80,iter_81,iter_82,iter_83,iter_84,iter_85,iter_86,iter_87,iter_88,iter_89,iter_90,iter_91,iter_92,iter_93,iter_94,iter_95,iter_96,iter_97,iter_98,iter_99,iter_100
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,,,1,,,,,,5,,,8,4,,,,,,,12,12,,,4,,,,,,,8,,6,,,,,2,3,2,16,,4,2,,,,,33,,,,11,,1,,,,,,,,10,7,,,,,6,17,4,,5,1,,2,,2,9,14,,6,,6,15,,12,3,,6,,,,,4,,11,,,
2,5,5,14,,,6,3,,,3,5,,1,,6,13,,5,,6,22,9,6,,10,1,2,4,,,4,1,,5,3,,,,,,7,,,8,4,,1,1,,,12,8,,,,3,8,,6,,12,5,,3,4,7,5,5,5,8,2,1,,24,1,,,,8,6,,,,,5,,8,3,5,5,4,,,,,1,,1,,
3,,,4,2,,1,,,,,1,,10,,5,,,,,,12,,,2,1,,2,,,,24,,,,,,3,,1,,11,,,9,1,,,,36,,,,13,,12,,,3,,,,,,24,2,,,2,8,7,6,,,9,,,,,8,11,,28,,21,9,,12,,,6,,,,,3,,16,,,
4,,,2,,5,,,,,,,,,,,5,1,,3,4,,,3,,,4,,4,4,,7,4,,,,,3,,,,,,,4,2,1,,,,,4,,,,,,,1,,,,2,2,5,2,1,3,,2,,,,,,3,,,,,,,,4,4,,2,,1,1,,2,,2,2,,4,1,,2,
5,,,8,,,,2,,1,,,2,11,,16,,,1,,2,10,,,2,,,,,,,12,,,,,,,,2,,18,,3,2,,,,,28,,,,7,,4,,,,2,,2,,,19,3,2,,,8,2,,2,2,3,,2,2,,7,12,,3,,8,9,,15,,,9,,,,,,,5,,,
6,1,,,8,,3,6,,,3,,2,3,,1,4,1,5,,2,3,4,1,2,1,3,3,4,,,,,,1,,,4,,,1,,3,,,1,,,,,,3,,3,,,,4,1,2,,3,,,1,,3,5,,,1,1,1,,23,,4,,,1,3,,,3,1,7,5,4,1,,,1,4,,4,,,,3,4,
7,,,8,2,1,,,,,,,,4,,8,,,,,,8,,,,,11,,,,,23,,,,3,,4,,20,,14,4,9,10,,,,,34,,,4,9,,8,,,,5,,,,,17,8,,,,2,17,,,,11,,,,,11,11,,17,,12,11,,15,,,7,,1,,,3,,15,,,
8,3,,3,,3,1,3,,,,2,1,2,,,,2,1,5,,1,,2,3,,8,2,4,4,3,1,,,2,,,,,,2,,4,,4,,1,8,3,4,3,2,6,7,4,,,6,2,,,2,4,1,3,5,4,,3,2,,2,,3,2,,2,5,4,,,,2,3,,4,1,3,1,,1,3,,,,3,,,3,2,4
9,,,7,,,,,,,,,,14,,,,,,,,13,,,,,,,,,,23,,,3,,,,,15,,12,,7,4,,,,,33,,,,10,,10,,,,,,,,,26,,,1,2,13,14,,,,12,,,2,,9,13,,23,,18,1,,11,,,1,,7,2,,,,16,,,
